round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,199,199
24,200,200,200,200,199,199
25,200,200,200,200,199,199
26,200,200,200,200,199,199
27,200,200,199,199,198,199
28,199,200,198,194,197,197
29,199,198,197,194,196,196
30,197,198,195,192,194,195
31,196,197,195,188,194,194
32,196,195,195,186,194,193
33,194,195,192,183,192,191
34,194,195,189,183,191,190
35,194,193,189,180,190,189
36,192,193,188,179,190,188
37,192,193,187,178,187,187
38,192,193,187,177,186,187
39,191,191,184,176,186,185
40,191,190,184,176,186,185
41,189,189,183,175,185,184
42,187,187,183,174,185,183
43,186,187,183,173,185,182
44,185,185,183,171,183,181
45,183,184,182,170,183,180
46,182,181,181,169,181,178
47,181,180,180,168,180,177
48,180,178,178,168,179,176
49,177,176,177,168,178,175
50,175,174,175,166,176,173
51,173,174,172,166,176,172
52,173,172,172,164,174,171
53,172,170,171,163,174,170
54,170,167,171,163,174,169
55,170,164,171,163,171,167
56,168,163,171,163,170,167
57,168,163,170,162,169,166
58,167,162,170,160,168,165
59,166,160,170,160,165,164
60,166,160,167,159,163,163
61,166,159,166,159,163,162
62,166,159,165,159,162,162
63,165,159,165,158,162,161
64,165,159,164,157,162,161
65,164,157,164,156,162,160
66,164,157,161,156,159,159
67,161,156,159,155,159,158
68,159,155,156,155,157,156
69,154,154,156,153,156,154
70,154,154,154,152,154,153
71,154,153,153,151,151,152
72,153,152,152,151,151,151
73,152,152,151,150,149,150
74,150,152,151,149,149,150
75,150,151,149,148,148,149
76,146,150,147,148,147,147
77,145,149,146,147,145,146
78,143,147,143,147,144,144
79,142,146,141,144,141,142
80,142,146,140,143,138,141
81,139,144,139,143,137,140
82,139,139,139,142,135,138
83,138,138,137,142,133,137
84,137,136,136,141,132,136
85,136,136,136,141,131,136
86,132,135,133,140,129,133
87,132,134,133,140,129,133
88,131,134,133,138,129,133
89,130,134,133,138,128,132
90,128,133,132,138,128,131
91,127,132,131,137,128,131
92,125,132,131,135,126,129
93,124,132,130,134,124,128
94,122,127,130,132,124,127
95,122,127,130,131,124,126
96,122,125,130,131,123,126
97,120,125,130,129,123,125
98,118,124,129,129,120,124
99,117,122,127,129,120,123
100,116,122,126,126,120,122
