round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,battery_round_y,average_Battery_Round
1,200,200,200,200,200,200,200
2,200,200,200,200,200,200,200
3,200,200,200,200,200,200,200
4,200,200,200,200,200,200,200
5,200,200,200,200,200,200,200
6,200,200,200,200,200,200,200
7,200,200,200,200,200,200,200
8,200,200,200,200,200,200,200
9,200,200,200,200,200,200,200
10,200,200,200,200,200,200,200
11,200,200,200,200,200,200,200
12,200,200,200,200,200,199,199
13,200,200,200,200,200,199,199
14,200,200,200,199,200,198,199
15,200,199,200,199,199,198,199
16,199,199,200,199,198,198,198
17,198,199,198,199,195,198,197
18,196,198,197,199,192,196,196
19,193,198,195,196,192,196,195
20,192,198,194,194,190,196,194
21,191,196,192,194,190,196,193
22,186,194,190,193,186,194,190
23,184,191,184,190,184,193,187
24,180,187,179,188,181,193,184
25,179,185,177,185,180,191,182
26,176,184,175,181,177,190,180
27,175,183,172,178,176,188,178
28,175,181,169,175,172,184,176
29,173,180,168,172,171,183,174
30,170,177,167,169,170,181,172
31,169,173,164,167,169,180,170
32,166,171,161,161,166,179,167
33,161,169,159,158,165,177,164
34,160,164,159,157,162,177,163
35,158,158,157,153,161,176,160
36,158,153,153,151,161,175,158
37,153,151,149,149,157,170,154
38,152,147,148,145,155,169,152
39,148,145,148,145,153,168,151
40,147,145,146,143,149,166,149
41,146,143,145,141,145,165,147
42,145,139,142,139,141,164,145
43,140,136,139,135,139,162,141
44,138,133,139,133,139,160,140
45,137,126,135,130,136,159,137
46,134,123,128,126,134,158,133
47,133,122,125,125,132,158,132
48,130,120,123,124,131,155,130
49,126,118,118,122,129,153,127
50,123,113,116,118,127,153,125
51,120,110,112,116,123,153,122
52,116,109,111,114,120,151,120
53,111,107,110,107,119,150,117
54,109,105,106,106,113,148,114
55,106,102,103,103,111,147,112
56,102,100,102,100,108,143,109
57,99,99,100,97,105,141,106
58,95,95,97,95,103,140,104
59,94,92,94,92,100,135,101
60,87,87,93,91,100,131,98
61,82,83,87,89,95,129,94
62,79,82,86,85,93,128,92
63,77,77,86,83,86,128,89
64,74,73,81,78,84,126,86
65,72,71,78,75,80,123,83
66,69,69,75,74,76,123,81
67,63,69,71,71,71,121,77
68,62,66,68,69,65,121,75
69,61,62,63,68,61,119,72
70,59,61,56,62,60,118,69
71,55,58,55,58,56,117,66
72,51,55,52,57,52,114,63
73,48,51,52,51,49,114,60
74,46,48,50,50,47,110,58
75,46,46,46,49,46,110,57
76,44,44,43,48,46,109,55
77,44,42,43,45,45,107,54
78,43,41,42,43,45,107,53
79,43,41,42,42,43,105,52
80,40,41,42,40,43,104,51
81,40,41,41,40,41,104,51
82,40,40,40,40,41,103,50
83,40,40,40,40,40,103,50
84,40,40,40,40,40,103,50
85,40,40,40,40,40,103,50
86,40,40,40,40,40,101,50
87,40,40,40,40,40,101,50
88,40,40,40,40,40,101,50
89,40,40,40,40,40,101,50
90,40,40,40,40,40,101,50
91,40,40,40,40,40,100,50
92,40,40,40,40,40,100,50
93,40,40,40,40,40,100,50
94,40,40,40,40,40,100,50
95,40,40,40,40,40,100,50
96,40,40,40,40,40,100,50
97,40,40,40,40,40,100,50
98,40,40,40,40,40,100,50
99,40,40,40,40,40,100,50
100,40,40,40,40,40,100,50
