round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,199,200,200,200,200,199
24,199,200,200,200,200,199
25,199,200,200,200,200,199
26,198,200,200,199,199,199
27,198,199,200,196,198,198
28,198,199,197,195,195,196
29,197,199,195,194,195,196
30,197,198,195,194,193,195
31,196,198,194,194,191,194
32,194,197,194,194,191,194
33,193,195,193,194,191,193
34,191,195,192,193,190,192
35,191,194,187,193,189,190
36,189,194,185,192,188,189
37,189,193,184,191,186,188
38,187,193,184,188,185,187
39,185,191,184,186,184,186
40,184,191,183,185,181,184
41,183,189,181,185,180,183
42,183,187,178,182,179,181
43,183,186,178,180,179,181
44,182,185,177,179,178,180
45,179,184,175,177,178,178
46,179,181,175,175,178,177
47,176,180,175,173,178,176
48,176,179,174,173,177,175
49,175,176,173,171,177,174
50,174,176,172,170,174,173
51,174,174,170,170,174,172
52,173,172,169,169,170,170
53,173,166,167,168,169,168
54,172,165,167,168,169,168
55,170,165,166,167,167,167
56,168,165,164,167,167,166
57,166,165,162,164,167,164
58,166,163,162,164,166,164
59,165,163,161,163,166,163
60,164,162,160,162,166,162
61,164,161,160,161,165,162
62,163,160,160,161,164,161
63,162,160,160,160,163,161
64,162,158,159,160,163,160
65,161,158,157,160,162,159
66,161,157,156,160,158,158
67,159,157,155,160,157,157
68,156,155,155,158,156,156
69,153,155,155,156,156,155
70,153,153,152,155,156,153
71,153,152,152,155,155,153
72,152,151,152,154,154,152
73,149,151,151,153,154,151
74,149,151,149,151,151,150
75,148,150,148,151,150,149
76,148,149,148,149,149,148
77,148,146,146,148,148,147
78,147,144,143,147,147,145
79,143,142,142,146,147,144
80,142,142,142,143,145,142
81,141,141,140,142,144,141
82,140,138,140,140,143,140
83,140,137,139,139,142,139
84,137,137,139,138,141,138
85,137,137,136,136,141,137
86,135,135,136,135,139,136
87,135,133,135,135,139,135
88,133,133,135,131,136,133
89,131,133,135,130,133,132
90,131,133,132,128,132,131
91,131,131,129,127,129,129
92,131,131,128,126,129,129
93,130,131,128,125,129,128
94,130,130,128,125,129,128
95,128,130,127,125,129,127
96,125,127,126,123,128,125
97,124,126,125,122,127,124
98,123,125,125,120,127,124
99,121,125,124,119,127,123
100,119,124,124,119,127,122
